线路编码,线路名称,设备编码,内部编码,车牌号
60001,1001路,059L3352,W7B-105,沪D-82920
60001,1001路,059L2612,W7B-104,沪D-82142
60001,1001路,059L2722,W7B-106,沪D-82453
60001,1001路,059L2636,W7B-107,沪D-82247
60001,1001路,059L2739,W7B-108,沪D-82939
60001,1001路,059L2603,W7B-109,沪D-82909
60002,1002路,050A0016,S7A-011,沪B-L1345
60002,1002路,059L2765,W7B-110,沪D-82910
60002,1002路,050G0040,S7A-009,沪B-L1147
60002,1002路,050K0254,S7A-010,沪B-L1217
60002,1002路,059L0759,W7B-084,沪D-68950
60002,1002路,050H0909,S7A-013,沪B-L1041
60002,1002路,050A0010,S7A-003,沪B-L1149
60003,1003路,559L2798,W7B-122,沪D-80451
60003,1003路,559L3346,W7C-041,沪D-E0938
60003,1003路,559L2655,W7B-119,沪D-82447
60003,1003路,559L3230,W7B-120,沪D-94128
60003,1003路,559L2523,W7B-121,沪D-73741
60003,1003路,550E0370,W9B-039,沪B-R2223
60015,1004路,220E0149,S7A-033,沪B-Q3458
60015,1004路,220E0332,S7A-032,沪B-Q3448
60016,1005路,220E0626,S7A-034,沪B-Q3406
60016,1005路,220E0151,S7A-035,沪B-L4451
60016,1005路,220Z0018,S7A-036,沪B-Q3429
60017,1006路,220E0043,S7A-037,沪B-L4140
60017,1006路,220E0407,S7A-038,沪B-Q1437
60017,1006路,229L3402,W7C-067,沪D-E4745
60008,1007路,550H0212,W7A-092,沪B-T4303
60008,1007路,550L0045,W7D-001,沪D-01599
60008,1007路,550A0020,W7C-053,沪D-G0220
60008,1007路,559L0881,W7C-051,沪D-G0212
60008,1007路,559L0252,W7C-052,沪D-G0046
60008,1007路,550E0214,W7A-016,沪B-R9516
60009,1008路,559L3268,W7C-039,沪D-E0996
60009,1008路,559L3250,W7C-038,沪D-E0981
60009,1008路,559L2429,W7C-037,沪D-E1000
60019,1009路,269L0879,W7B-061,沪D-66413
60019,1009路,269L0908,W9D-082,沪D-75849
60019,1009路,269L3130,W7B-062,沪D-66446
20061,1010路,220L0012,W7A-079,沪B-T4280
60018,1010路,050E0134,S7A-026,沪B-Q3426
20061,1010路,220E0727,W7A-024,沪B-R9698
20061,1010路,220A0178,W7A-078,沪B-T4240
60020,1011路,050E0075,S7A-041,沪A-Q5560
60020,1011路,050E0137,S7A-043,沪A-Q5497
60020,1011路,050E0146,S7A-039,沪A-Q5247
60020,1011路,050E0175,S7A-040,沪A-Q5548
60020,1011路,050E0764,S7A-042,沪A-Q5590
60021,1012路,550E0649,S7A-051,沪B-Q5467
60021,1012路,550E0094,S7A-052,沪B-Q5608
60021,1012路,550E0066,S7A-054,沪B-Q5617
60021,1012路,550E0297,S7A-053,沪B-Q5462
60028,1013路,550E0227,S7A-058,沪B-Q5611
60028,1013路,550E0746,W7A-011,沪B-R0116
60028,1013路,550E0348,W7A-012,沪B-R0163
60028,1013路,550E0869,S7A-055,沪B-Q5637
20013,1015路,229L2157,Z9B-030,沪B-29439
20013,1015路,229L0683,W9A-141,沪B-81546
20013,1015路,229L0875,W9A-018,沪B-49980
20012,1017路,229L2013,W7B-103,沪D-82588
20012,1017路,229L1219,W7B-035,沪D-39350
60029,1018路,559L2033,W7B-116,沪D-94022
60029,1018路,559L2634,W9A-294,沪B-70045
60029,1018路,559L2250,W9A-295,沪B-67847
60029,1018路,559L2665,W9A-293,沪B-70146
60024,1019路,059L2359,W7B-011,沪D-50522
60024,1019路,059L3219,W7B-014,沪D-48147
60024,1019路,050E0034,S7B-003,沪B-R7828
60024,1019路,059L0571,W7B-010,沪D-48485
60024,1019路,059L3177,W7B-012,沪D-48245
60024,1019路,059L1720,W7B-009,沪D-50510
60022,1020路,050E0579,S7A-044,沪B-Q5488
60030,1021路,559L3337,W7C-035,沪D-E0997
60030,1021路,550H0198,S7A-017,沪BL1380
60030,1021路,550E0829,W7A-015,沪B-R9459
60030,1021路,550E0221,W7A-013,沪B-R9526
60030,1021路,550E0513,W7A-014,沪B-R9529
60031,1022路,550E0347,S7A-025,沪B-Q3413
60031,1022路,559L1225,W7C-047,沪D-G0112
60031,1022路,559L1795,W7C-046,沪D-G0223
60025,1023路,050J0631,S7B-002,沪B-R7833
60025,1023路,050J0586,S7B-001,沪B-R7802
60026,1024路,050E0333,S7A-029,沪B-Q3461
60026,1024路,050E0006,S7A-027,沪B-Q3438
60026,1024路,050E0702,S7A-028,沪B-Q3241
60026,1024路,050E0131,S7A-031,沪B-Q3466
60026,1024路,050E0117,S7A-030,沪B-Q1415
60032,1025路,550H0289,W7B-002,沪D-01585
60032,1025路,550E0179,S7A-056,沪B-Q5626
60032,1025路,550E0088,S7A-057,沪B-Q5633
60032,1025路,550K0221,W7B-001,沪D-01571
20014,1026路,220E0681,W7A-027,沪B-R9683
20014,1026路,220H0042,W7A-077,沪B-T4273
20014,1026路,220E0607,W7A-028,沪B-R9702
20014,1026路,220E0496,W7A-031,沪B-R9681
20014,1026路,220K0197,W7A-073,沪B-T4251
20015,1027路,220G0100,W7A-080,沪B-T4320
20015,1027路,220E0722,S7B-009,沪B-R7822
20015,1027路,220E0148,S7B-008,沪B-R7835
20016,1028路,220E0409,S7B-013,沪B-R7837
20016,1028路,220E0439,S7B-011,沪B-R7791
20016,1028路,220E0250,S7B-012,沪B-R7836
60034,1029路,050E0698,S7B-005,沪B-R7643
60034,1029路,050E0301,S7B-006,沪B-R7821
60034,1029路,050E0489,S7B-004,沪B-R7823
60035,1030路,550E0387,G7A-001,沪B-R7471
60035,1030路,550E0183,S7A-049,沪B-Q5530
60035,1030路,550E0238,S7A-050,沪B-Q5142
60035,1030路,559L1324,W0A-080,沪B-27247
60035,1030路,550E0613,G7A-002,沪B-R7517
20060,1031路,229L1038,Z9B-027,沪B-29658
20060,1031路,229L1257,Z9B-029,沪B-29622
20060,1031路,229L2362,Z9B-028,沪B-29665
20019,1032路,229L2893,W9E-002,沪D-A3708
20019,1032路,229L1762,W9E-001,沪D-A3717
20019,1032路,229L1297,W9E-003,沪D-A3672
20019,1032路,220A0140,W9A-165,沪B-86042
20019,1032路,220E0516,W9B-111,沪B-R7096
20019,1032路,220E0039,W9A-164,沪B-85402
20020,1033路,220E0338,S7A-063,沪B-Q5640
20020,1033路,220E0165,S7A-062,沪B-Q5615
20020,1033路,220E0055,S7A-064,沪B-Q5613
60043,1034路,559L1516,W9A-318,沪B-70195
60043,1034路,559L2265,W9A-314,沪B-70191
60043,1034路,559L2502,W0A-035,沪B-17808
60043,1034路,559L2248,W9A-316,沪B-70136
60043,1034路,559L2750,W9A-299,沪B-67793
60043,1034路,559L2363,W9A-300,沪B-67790
60043,1034路,559L2567,W9A-315,沪B-70192
12146,1035路,260E0588,W7A-035,沪B-R9565
12111,1036路,260E0627,W7A-037,沪B-R9475
12111,1036路,260E0593,W7A-036,沪B-R9470
12105,1037路,260L0114,J7A-026,沪B-90142
12105,1037路,260J0770,J7A-033,沪B-90143
12117,1038路,260E0752,S9C-003,沪BT8127
12117,1038路,260K0249,S9C-016,沪D-24503
60038,1039路,059L2792,W7B-112,沪D-82938
60038,1039路,050E0417,S7B-007,沪B-R7831
60038,1039路,059L2688,W7B-113,沪D-82936
60039,1040路,269L1574,W7B-058,沪D-66488
60040,1041路,260E0619,W7A-041,沪B-R9545
60040,1041路,260E0160,W7A-038,沪B-R9557
20024,1042路,220G0017,W7A-072,沪B-T4230
60041,1043路,269L0521,W9D-083,沪D-77856
60041,1043路,269L3042,W7C-028,沪DC5811
60041,1043路,260A0177,W7A-096,沪D-08412
60041,1043路,263L0373,K7C-048,沪B-D0841
60041,1043路,269L1528,K7C-026,沪B-D1121
20023,1045路,220E0381,S7B-015,沪B-R7773
20023,1045路,220E0856,S7B-014,沪B-R7805
60044,1046路,050E0426,S7A-047,沪B-Q5542
60044,1046路,050E0178,S7A-045,沪B-Q5593
60044,1046路,050E0142,S7A-046,沪B-Q5549
60044,1046路,050E0336,S7A-048,沪B-Q5553
20026,1047路,223L0348,W7B-095,沪D-82579
20026,1047路,229L2196,W7B-096,沪D-82550
20026,1047路,229L1973,W7B-094,沪D-82585
61048,1048路,559L1205,W7B-003,沪D-28360
61048,1048路,559L2028,W7B-004,沪D-28333
61049,1049路,559L1366,W7B-093,沪D-77799
61049,1049路,559L1863,W7B-006,沪D-28249
61049,1049路,559L1537,W7B-092,沪D-77648
61049,1049路,559L1352,W7B-007,沪D-28295
61049,1049路,553L0105,W7B-043,沪D-39049
70005,1050路,550H0162,W7A-087,沪B-T4243
70005,1050路,550E0673,W7A-017,沪B-R9548
70005,1050路,550G0043,W7A-086,沪B-T4301
70005,1050路,559L2729,W7B-123,沪D-90947
70005,1050路,559L3275,W7B-041,沪D-39188
70005,1050路,559L3321,W7C-040,沪D-E0980
70036,1051路,559L0513,W7B-054,沪D-58323
70036,1051路,559L0503,W7B-055,沪D-58326
20036,1052路,229L2197,W7B-037,沪D-39372
20036,1052路,220G0072,W7A-075,沪B-T4290
20036,1052路,229L1384,W7B-073,沪D-68528
20038,1053路,229L1033,W7B-038,沪D-28410
20038,1053路,229L1290,W7B-039,沪D-28142
60108,1054路,050H0200,W7A-059,沪B-T4163
60108,1054路,050G0067,W7A-064,沪B-T4172
20039,1055路,229L0671,Z9B-004,沪B-29616
20039,1055路,229L0682,Z9B-008,沪B-28041
20040,1056路,220L0220,W7A-071,沪B-T4279
20040,1056路,229L0108,W7B-097,沪D-82593
20040,1056路,229L0868,W7B-098,沪D-82578
20056,1057路,220E0737,S7B-010,沪B-R7826
20056,1057路,229L1959,W7B-100,沪D-82440
20041,1058路,220E0008,W9A-116,沪B-82353
20041,1058路,220H0007,W9A-287,沪B-D2463
20041,1058路,220J0678,W9A-289,沪B-D2472
20041,1058路,220H0117,W9A-288,沪B-D2435
20041,1058路,220L0240,W9A-115,沪B-82267
20041,1058路,229L0501,S0Y-014,沪D-58317
20041,1058路,229L3161,W2H-038,沪D-90773
11079,1059路,269L2215,W7B-139,沪D-82656
11079,1059路,269L2803,W7B-018,沪D-58042
70010,1060路,559L2569,W7B-045,沪-D39179
70010,1060路,559L2165,W7B-115,沪D-77641
70010,1060路,559L2238,W7B-052,沪D-58307
70010,1060路,559L2891,W7B-053,沪D-58071
12102,1061路,269L0978,K7C-024,沪B-D0842
12089,1062路,260J0488,W7A-097,沪D-04702
12089,1062路,260E0468,W7A-040,沪B-R9607
88815,1063路,269L0621,W7B-024,沪D-58149
88815,1063路,269L1014,W7B-025,沪D-58150
80331,1064路,269L1951,W7C-013,沪DB4748
80331,1064路,269L3209,W7C-012,沪DB6590
60042,1065路,260F0006,W7A-045,沪B-R9586
60042,1065路,260E0145,W7A-046,沪B-R9622
88801,1066路,269L3382,S0E-079,沪B-18886
88801,1066路,269L1216,S0E-155,沪B-23149
88801,1066路,269L1146,W0F-014,沪D-08497
88801,1066路,269L2330,W0F-015,沪D-08450
88801,1066路,269L0915,W0F-016,沪D-08492
88801,1066路,269L2297,S0E-254,沪B-66452
88802,1067路,263L0221,W7B-016,沪D58179
88802,1067路,269L0940,W7B-017,沪D58113
88802,1067路,269L1359,W7B-015,沪D55495
88802,1067路,260J0485,W7A-099,沪D08480
88802,1067路,260G0131,W7A-098,沪D04740
88803,1068路,269L1071,S0E-088,沪B-18812
88803,1068路,269L0722,W9A-169,沪B-84983
88803,1068路,269L2801,W9D-022,沪D58167
88803,1068路,260E0669,S0E-258,沪B-67051
88803,1068路,269L0740,W9A-027,沪B-78413
88804,1069路,260L0225,K7C-047,沪B-D1189
88804,1069路,260A0127,K7C-050,沪B-D1516
12115,1070路,269L2097,W7C-016,沪D-C5830
12115,1070路,269L1694,W7C-017,沪D-C5740
12115,1070路,269L2913,W7C-015,沪D-C5749
12115,1070路,269L2993,W7C-014,沪D-C5833
88807,1071路,269L0239,W7B-027,沪D-58168
88807,1071路,269L3242,W7B-026,沪D-58182
88808,1072路,269L3213,W7B-028,沪D-58130
88808,1072路,269L1977,W7B-029,沪D-58188
88809,1073路,269L0650,W7B-030,沪D-58161
88809,1073路,269L3232,W7B-031,沪D-41442
80211,1074路,269L3368,W7C-019,沪DC5801
88812,1075路,269L2353,W7B-064,沪D-58442
88812,1075路,263L0319,W7B-063,沪D-58443
12106,1076路,260L0150,J7A-030,沪B-90179
12106,1076路,260H0201,J7A-036,沪B-90259
88813,1077路,269L2679,W9D-027,沪D-58200
88813,1077路,269L0704,W9A-193,沪B-90339
88813,1077路,269L0766,W9D-025,沪D-58166
88813,1077路,269L0008,W9D-024,沪D-58159
88813,1077路,269L1836,W9D-026,沪D-58198
88813,1077路,269L3236,W9A-190,沪B-90376
88813,1077路,269L0221,W9D-086,沪D-77839
88813,1077路,269L0781,W9A-198,沪B-90370
88813,1077路,269L1579,W9D-084,沪D-77829
88813,1077路,269L2861,W9A-188,沪B-90386
88814,1078路,263L0338,W7B-066,沪D-66445
88814,1078路,269L2331,W7B-065,沪D-68508
88810,1079路,269L2017,W7B-033,沪D-58155
88810,1079路,269L2821,W7B-032,沪D-58148
90013,1080路,050L0169,S9B-002,沪B-87095
90013,1080路,050G0025,X9B-191,沪B-51171
90013,1080路,050K0095,S9B-001,沪B-83332
90013,1080路,059L0894,W9A-245,沪B-D2102
90013,1080路,050K0092,X9B-190,沪B-51196
90013,1080路,059L0750,W9A-258,沪B-D2265
90013,1080路,050A0160,X9B-196,沪B-51092
90013,1080路,050A0189,X9B-193,沪B-51102
90013,1080路,059L0038,W9A-269,沪B-D2257
90014,1081路,059L2938,W7B-086,沪D-68907
90014,1081路,059L2220,W7B-085,沪D-68911
90014,1081路,059L0559,W7B-080,沪D-68946
90014,1081路,050H0028,W7A-065,沪B-T4197
90014,1081路,059L1736,W7B-008,沪D-50531
90014,1081路,050L0239,W7A-066,沪B-T4202
88816,1082路,269L1139,W7B-060,沪D-66479
88816,1082路,269L2549,W7B-059,沪D-66489
60095,1083路,550E0328,S7A-021,沪B-Q3485
60095,1083路,550E0079,S7A-023,沪B-Q3447
60095,1083路,559L3151,S7A-022,沪B-Q3436
90015,1085路,050A0095,S7A-004,沪B-L1146
90015,1085路,059L0741,W7B-082,沪D-68957
90015,1085路,050H0203,S7A-006,沪B-L1142
90015,1085路,050K0115,S7A-005,沪B-L1277
90015,1085路,059L1859,W7B-083,沪D-68905
90015,1085路,059L0854,W7B-081,沪D-68912
80102,1086路,260E0016,W7A-048,沪B-R9522
80102,1086路,269L2302,W7B-020,沪D-58169
80103,1087路,260E0459,W7A-050,沪B-R9666
80103,1087路,260E0630,W7A-049,沪B-R9601
80104,1088路,269L1001,W7B-019,沪D-58152
80104,1088路,269L2702,W7C-001,沪DB6546
80105,1089路,269L1768,W7C-003,沪DB4911
80105,1089路,269L3216,W7C-002,沪DB4842
90018,1090路,059L1796,W9B-025,沪B-E0340
90018,1090路,050E0713,W9B-155,沪B-T4213
90018,1090路,050E0715,W9B-154,沪B-T4209
90018,1090路,050E0721,W9B-153,沪B-T4226
90016,1091路,059L2049,W9A-262,沪B-D2307
90016,1091路,050E0139,X9B-128,沪B-46491
90016,1091路,059L3094,X9B-225,沪B-55143
80212,1092路,269L3400,W7C-021,沪DC5812
80213,1093路,269L3379,W7C-022,沪DC5773
80311,1094路,263L0173,W7B-070,沪D-66482
80311,1094路,269L1986,W7B-069,沪D-68512
80101,1095路,269L3210,W7C-005,沪DB6568
80101,1095路,269L1815,W7C-004,沪DB4841
80301,1096路,269L1177,W7C-011,沪DB6588
80301,1096路,269L3200,W7C-010,沪DB6578
20055,1097路,229L2515,W7B-101,沪D-82596
20055,1097路,223L0287,S0I-124,沪D-58077
70043,1098路,550E0595,S7A-018,沪B-Q3423
70043,1098路,550E0216,S7A-019,沪B-Q3430
70043,1098路,559L2200,W7B-089,沪D77736
90017,1099路,050H0154,S7A-012,沪B-L1371
90017,1099路,050L0206,S7A-001,沪B-L1328
90017,1099路,050E0107,X9B-134,沪B-46802
90017,1099路,059L2011,W9A-244,沪B-D2381
20065,1100路,223L0162,W7C-044,沪D-E7289
20065,1100路,229L3318,W7C-045,沪D-E7283
20065,1100路,229L3348,W7C-043,沪D-E7310
20065,1100路,229L3312,W7C-042,沪D-E7280
80320,1101路,269L2020,W7B-022,沪D-58185
80320,1101路,269L3369,W7B-021,沪D-55491
80321,1102路,269L1566,W7B-072,沪D-66498
80321,1102路,269L3373,W7B-071,沪D-68505
20057,1103路,229L3358,W7C-032,沪D-D7812
20057,1103路,229L3343,W7C-033,沪D-D7791
20057,1103路,229L3222,W7C-031,沪D-D7842
20068,1104路,220A0139,W7A-076,沪B-T4328
20069,1105路,229L1571,W7B-076,沪D-68545
20071,1107路,220H0048,W7A-069,沪B-T4248
20071,1107路,220L0230,W7A-070,沪B-T4278
801701,1108路,269L3449,W9H-068,W9H-068
801701,1108路,269L3439,W9H-069,W9H-069
801702,1109路,269L3455,W9H-070,W9H-070
801702,1109路,269L3417,W9H-071,W9H-071
80201,1111路,269L2092,W7B-133,沪D82655
80201,1111路,269L0636,W7B-129,沪D82660
80201,1111路,269L3363,W7B-132,沪D82463
80201,1111路,269L0141,W7B-127,沪D82658
80201,1111路,263L0169,W7B-126,沪D82452
80201,1111路,269L2299,W7B-128,沪D82473
80201,1111路,269L2897,W7B-130,沪D82572
80201,1111路,269L1394,W7B-131,沪D82648
10103,119路,059L1916,S2H-033,沪B-E1942
10103,119路,059L1758,S2H-021,沪B-D8847
10103,119路,059L1825,S2H-022,沪B-D9042
10103,119路,059L2611,S2H-024,沪B-D9433
10103,119路,059L1748,S2H-025,沪B-D7430
10103,119路,059L1772,S2H-026,沪B-D8541
10103,119路,059L1851,S2H-027,沪B-D8940
10103,119路,059L1592,S2H-028,沪B-D9401
10103,119路,059L1792,S2H-029,沪B-D9412
10103,119路,059L1785,S2H-009,沪B-D9143
10103,119路,059L0052,S2H-031,沪B-E1945
10103,119路,059L1814,S2H-032,沪B-E1642
10103,119路,059L1787,S2H-034,沪B-E2563
10103,119路,059L1651,S2H-035,沪B-E2437
10103,119路,059L2889,W1B-005,沪D-A0872
10103,119路,059L3103,W1B-001,沪D-A0848
10103,119路,059L2134,S2H-023,沪B-D9046
10103,119路,059L1668,S2H-010,沪B-D9447
10103,119路,059L1942,S2H-030,沪B-D9142
10103,119路,059L1043,W1B-003,沪D-98345
10103,119路,059L2881,W1B-008,沪D-A0857
10103,119路,059L2995,W1B-007,沪D-A0852
10103,119路,059L2985,W1B-002,沪D-A0850
10103,119路,059L3179,W1B-004,沪D-A0841
10103,119路,059L2983,W1B-006,沪D-A0928
10112,130路,229L2593,W9E-007,沪D-A3667
10112,130路,220J0551,W9D-013,沪D-08385
10112,130路,220A0149,W9D-004,沪D-08362
10112,130路,220H0957,W9D-005,沪D-08339
10112,130路,220H0298,W9D-006,沪D-08383
10112,130路,220J0533,W9D-007,沪D-08387
10112,130路,220J0541,W9D-012,沪D-08045
10112,130路,220J0552,W9D-009,沪D-08386
10112,130路,220H0013,W9D-010,沪D-08146
10112,130路,229L2565,S0I-103,沪D-52881
10112,130路,229L0642,S0I-104,沪D-52912
10112,130路,223L0255,S0I-105,沪D-52992
10112,130路,220J0354,W9D-011,沪D-08378
10112,130路,220J0549,W9D-008,沪D-08318
11014,161路,553L0294,W0E-055,沪D-98460
11014,161路,559L1760,W0E-056,沪D-98172
11014,161路,559L3164,W0E-057,沪D-98491
11014,161路,559L0925,W0D-030,沪B-82427
11014,161路,559L0835,W0D-028,沪B-82423
11014,161路,559L0795,W0D-029,沪B-82457
11014,161路,559L3038,W0D-031,沪B-82341
11038,163路,559L2294,S0E-045,沪B-17282
11038,163路,559L2586,W0A-046,沪B-18209
11038,163路,559L2106,W9A-319,沪B-67940
11038,163路,559L2348,W9A-317,沪B-70182
11038,163路,559L1963,W9A-301,沪B-67480
11038,163路,559L0635,S0E-177,沪B-23146
11038,163路,559L2582,W9A-292,沪B-67765
11038,163路,559L2351,W9A-291,沪B-67612
11038,163路,559L2787,W9A-290,沪B-67779
60023,164路,550E0369,W9B-043,沪B-R2048
60023,164路,550E0379,W9B-055,沪B-R2501
60023,164路,550E0081,W9B-056,沪B-R2537
60023,164路,550E0361,W9B-042,沪B-R2083
60023,164路,550E0596,W9B-063,沪B-R2536
60023,164路,550E0391,W9B-057,沪B-R2349
60023,164路,550E0358,W9B-040,沪B-R2173
10658,167路,559L2759,W0A-188,沪B-53402
10658,167路,559L2629,W0A-189,沪B-53453
10658,167路,559L2764,W0A-190,沪B-53743
10658,167路,559L2553,W0A-191,沪B-53440
10658,167路,559L2690,W0A-192,沪B-53748
10658,167路,559L2663,W0A-193,沪B-53721
10658,167路,559L2651,W0A-194,沪B-53571
10658,167路,559L2790,W0A-199,沪B-53431
10658,167路,559L2799,W0A-202,沪B-53427
10658,167路,559L2781,W0A-203,沪B-53421
10658,167路,559L2620,W0A-204,沪B-53247
10658,167路,559L2537,W0A-205,沪B-53439
10658,167路,559L2647,W0A-206,沪B-53450
10658,167路,559L2760,W0A-208,沪B-53432
10658,167路,559L2756,W0A-209,沪B-53541
10658,167路,559L2641,W0A-187,沪B-53413
10658,167路,559L2762,W0A-212,沪B-53471
10658,167路,559L2580,W0A-211,沪B-53465
10658,167路,559L2717,W0A-210,沪B-53470
10658,167路,559L2649,W0A-175,沪B-45095
10658,167路,559L3311,W0A-173,沪B-45058
10658,167路,559L0999,W0A-163,沪B-39542
10658,167路,559L2709,W0A-196,沪B-53441
10228,169路,229L0216,W9D-043,沪D-58205
10228,169路,220K0041,W9A-122,沪B-82340
10228,169路,220H0931,W9A-120,沪B-82261
10228,169路,229L1738,W9D-042,沪D-58235
10228,169路,229L3191,W9D-044,沪D-58276
12084,174路,559L2715,W2A-003,沪B-44481
12084,174路,553L0132,W0A-033,沪B-17822
12084,174路,559L2650,W2A-004,沪B-44491
12084,174路,559L2782,W2A-008,沪B-44469
12084,174路,559L2065,S0E-168,沪B-23141
12084,174路,559L2268,S0E-171,沪B-23130
12084,174路,559L1396,S0E-174,沪B-23215
12084,174路,559L1123,S0E-046,沪B-17201
12084,174路,559L1306,S0E-172,沪B-23239
12084,174路,559L1580,S0E-173,沪B-23041
12084,174路,559L2713,W2A-005,沪B-44477
12084,174路,559L2630,W2A-006,沪B-44037
12084,174路,559L2965,W2A-002,沪B-44045
10935,175路,059L1717,S0E-022,沪B-17122
10935,175路,059L1778,S0E-080,沪B-18773
10935,175路,059L2956,W1A-071,沪D-97925
10935,175路,059L2989,W1A-070,沪D-98462
10935,175路,059L2728,W1A-069,沪D-98409
10935,175路,059L0878,W9A-264,沪B-D2073
10935,175路,059L0776,W9A-257,沪B-D2357
10935,175路,050K0098,W9A-072,沪B-83327
10935,175路,050K0086,S0E-109,沪B-19160
10935,175路,050G0013,S0E-223,沪B-27741
10935,175路,050H0027,S0E-236,沪B-51407
10935,175路,059L0882,W9A-247,沪B-D2235
10935,175路,059L0909,W9A-249,沪B-D2296
10935,175路,059L0796,W9A-254,沪B-D2253
10932,177路,559L2966,W0A-032,沪B-17830
10932,177路,559L3146,W0A-031,沪B-17802
10932,177路,559L2701,W0A-030,沪B-17820
10932,177路,559L3125,W0A-029,沪B-17842
10932,177路,559L2962,W9A-313,沪B-67740
10932,177路,559L0040,W9A-311,沪B-67946
10932,177路,559L2979,W9A-310,沪B-67943
10932,177路,559L2981,W9A-309,沪B-70059
10932,177路,559L2930,W9A-308,沪B-67420
10932,177路,559L1315,W0A-152,沪B-39967
10932,177路,559L1582,W0A-154,沪B-39143
10932,177路,559L2960,W9A-312,沪B-70150
10932,177路,559L2755,W0A-028,沪B-17797
10932,177路,559L1624,W0A-027,沪B-17843
10932,177路,559L2948,W0A-034,沪B-17821
10932,177路,559L3183,W0A-153,沪B-39947
10932,177路,559L2687,W0A-026,沪B-17829
10847,181路,229L2240,W2G-023,沪D-75942
10847,181路,229L0808,W2G-013,沪D-75977
10847,181路,229L3152,W2G-018,沪D-75985
10847,181路,220K0161,S0G-120,沪B-82140
10847,181路,229L1843,W2G-027,沪D-75983
10847,181路,220E0154,S0G-014,沪B-67429
10847,181路,220E0058,S0G-012,沪B-66461
10847,181路,220K0039,S0G-015,沪B-65247
10847,181路,220E0127,S0G-013,沪B-67425
10847,181路,229L2912,S0I-097,沪D-52911
10847,181路,223L0322,S0I-096,沪D-52919
10847,181路,229L1226,S0I-091,沪D-52917
10847,181路,229L3412,S0I-098,沪D-52888
10847,181路,229L3124,S0I-095,沪D-52837
10847,181路,229L0111,S0I-094,沪D-52916
10847,181路,229L2640,S0I-093,沪D-52873
10847,181路,223L0165,S0I-092,沪D-52810
10847,181路,229L0106,W2G-025,沪D-75980
10847,181路,220Z0016,S0G-113,沪B-82147
10847,181路,229L2162,W2G-014,沪D-75950
10508,182路,229L1236,W9A-006,沪B-49948
10508,182路,229L0086,W9A-011,沪B-49647
10508,182路,229L0123,W9A-015,沪B-49953
10508,182路,229L0199,W9A-007,沪B-49957
10508,182路,229L0209,W9A-012,沪B-49762
10508,182路,223L0203,W9A-003,沪B-49905
10508,182路,229L0896,W9A-014,沪B-49949
10508,182路,229L1919,W9A-013,沪B-49923
10508,182路,229L2064,W9A-005,沪B-49945
10508,182路,229L0088,W9A-010,沪B-49969
10508,182路,229L2691,W9A-009,沪B-49963
10508,182路,229L0197,W9A-008,沪B-49959
10508,182路,229L0169,W9A-004,沪B-49930
12151,183路,260K0138,W9A-040,沪B-79349
12151,183路,260K0198,W9A-020,沪B-78547
12151,183路,260K0130,W9A-032,沪B-78743
12151,183路,260H0280,W9A-033,沪B-78443
12151,183路,260L0093,W9A-036,沪B-79142
12151,183路,260H0912,W9A-037,沪B-79401
12151,183路,260L0272,W9A-030,沪B-78451
12151,183路,260L0015,W9A-038,沪B-79147
12151,183路,260L0135,W9A-039,沪B-79043
10928,188路,059L2086,X9B-182,沪B-51053
10928,188路,050E0112,X9B-127,沪B-46782
10928,188路,050E0085,X9B-111,沪B-46543
10928,188路,050E0129,X9B-105,沪B-46420
10928,188路,050E0093,X9B-116,沪B-46405
10928,188路,050E0223,X9B-125,沪B-46808
10928,188路,050E0092,X9B-121,沪B-46813
10928,188路,050E0261,X9B-126,沪B-46732
10928,188路,050E0111,X9B-129,沪B-46741
10928,188路,050E0740,X9B-135,沪B-46541
10928,188路,050E0102,X9B-118,沪B-46439
10928,188路,050E0090,X9B-112,沪B-46451
10928,188路,050E0091,X9B-115,沪B-46709
10928,188路,050E0734,X9B-123,沪B-46472
10928,188路,050E0121,X9B-108,沪B-46795
10928,188路,050E0124,X9B-110,沪B-46793
10928,188路,050E0086,X9B-113,沪B-46547
10928,188路,050E0708,X9B-114,沪B-46605
10928,188路,050E0087,X9B-117,沪B-46742
10928,188路,050E0082,X9B-119,沪B-46537
10928,188路,050E0155,X9B-120,沪B-46440
10928,188路,050E0222,X9B-122,沪B-46427
10928,188路,050E0527,X9B-124,沪B-46442
10928,188路,050E0860,X9B-130,沪B-46651
10928,188路,050E0123,X9B-131,沪B-46482
10928,188路,050E0114,X9B-133,沪B-46696
10928,188路,050E0268,X9B-136,沪B-46761
10146,219路,559L2661,S0J-044,沪D-97813
10146,219路,559L3135,W0E-048,沪D-98487
10146,219路,559L3029,S0J-046,沪D-97572
10146,219路,553L0306,S0J-050,沪D-97775
10146,219路,559L3032,S0J-051,沪D-97781
10146,219路,559L2980,W0E-051,沪D-98430
10146,219路,559L2390,W0E-054,沪D-98245
10146,219路,559L2590,W0E-045,沪D-98432
10146,219路,559L1329,W0E-053,沪D-98439
10146,219路,559L2748,W0E-052,沪D-98433
10146,219路,559L1682,W0E-043,沪D-97827
10146,219路,559L2928,W0E-049,沪D-98246
10146,219路,553L0324,W0E-044,沪D-98483
10146,219路,559L1544,W0E-047,沪D-98402
10146,219路,559L1293,W0E-050,沪D-98471
